name,url,description,found_by
qihangnet/ez-cli,https://github.com/qihangnet/ez-cli,"ez is an open-source command-line tool developed based on Deno, leveraging the power of artificial intelligence to provide convenient features for users.",cursor_config: filename:.cursorignore
zaneriley/discord-cogs-for-small-servers,https://github.com/zaneriley/discord-cogs-for-small-servers,Discord cogs for Red focused on small servers / groups of friends,cursor_config: filename:.cursorignore
masonarditi/dev-cert-practice,https://github.com/masonarditi/dev-cert-practice,,cursor_config: filename:.cursorignore
skulitom/2dChem,https://github.com/skulitom/2dChem,,cursor_config: filename:.cursorignore
Keyring-Network/fl-zerolend,https://github.com/Keyring-Network/fl-zerolend,,cursor_config: filename:.cursorignore
ranaroussi/muxi,https://github.com/ranaroussi/muxi,An extensible AI agents framework,cursor_config: filename:.cursorignore
Wangshengyang2004/DiffUSE,https://github.com/Wangshengyang2004/DiffUSE,DiffUSE: Diffusion-Based State Estimation for Agile UAVs with Low-Cost Sim-to-Real Transfer Using Multi-Modal Sensors,cursor_config: filename:.cursorignore
korchasa/speelka-agent,https://github.com/korchasa/speelka-agent,Universal LLM Agent based on MCP,cursor_config: filename:.cursorignore
rgilks/comprehendo,https://github.com/rgilks/comprehendo,A multi-language reading comprehension practice tool,cursor_config: filename:.cursorignore
mescp/app-proxy-nodejs,https://github.com/mescp/app-proxy-nodejs,这是一个基于应用程序的http代理转发程序，可以根据应用程序名称自动将流量转发到指定的代理服务器。它能够识别不同应用的网络请求，并根据配置将其转发到不同的代理服务器。,cursor_config: filename:.cursorignore
